,HumanGene,MouseGene,correlation
500,CBX3,Cbx3,0.8542795865
501,YBX1,Ybx1,0.508119303
502,PCBP1,Pcbp1,0.7884868887
503,H2AFZ,H2afz,0.9407659599
504,CENPW,Cenpw,0.7397574041
505,ODC1,Odc1,0.6750749127
506,NDUFA2,Ndufa2,0.8026300675
507,DNMT1,Dnmt1,0.9887070714
508,SMC3,Smc3,0.9866254841
509,BAZ1A,Baz1a,0.7258890319
510,SLC29A1,Slc29a1,0.8994230398
511,RPL8,Rpl8,0.9253392942
512,GNB2,Gnb2,0.6908697373
513,CD82,Cd82,0.4936760073
514,SLBP,Slbp,0.7783596555
515,NAA50,Naa50,0.5019040242
516,RPA1,Rpa1,0.8718408496
517,MCM2,Mcm2,0.9594930968
518,MYH10,Myh10,0.7758019619
519,TMEM14C,Tmem14c,0.8586804992
520,SRSF2,Srsf2,0.8204670331
521,HSP90AA1,Hsp90aa1,0.4831015718
522,CASP8AP2,Casp8ap2,-0.5516304102
523,AP1B1,Ap1b1,0.9034990404
524,PSMD1,Psmd1,0.6173001496
525,FEN1,Fen1,0.9601816801
526,METAP2,Metap2,0.6485203785
527,DUT,Dut,0.7152141048
528,VRK1,Vrk1,0.6496748969
529,CCNE1,Ccne1,0.9049098994
530,GARS,Gars,0.3635434897
531,MCM4,Mcm4,0.9850486586
532,SMIM1,Smim1,0.7047655185
533,HAT1,Hat1,0.79745138
534,EIF2S2,Eif2s2,0.702616167
535,HEBP1,Hebp1,0.929282279
536,CD59,Cd59b,0.0172353105
537,CCNB2,Ccnb2,0.9265564479
538,HNRNPA2B1,Hnrnpa2b1,0.8903559894
539,TK1,Tk1,0.9444146674
540,RRM1,Rrm1,0.9874685046
541,MCM7,Mcm7,0.9953644581
542,PCNA,Pcna,0.975197499
543,PBRM1,Pbrm1,0.9793140647
544,EPRS,Eprs,0.0360792009
545,COX17,Cox17,0.8780995629
546,GFI1B,Gfi1b,0.8512181436
547,RDX,Rdx,0.2002655509
548,NCAPD2,Ncapd2,0.9855302021
549,TUBA1C,Tuba1c,0.6312158537
550,SMC2,Smc2,0.9828025956
551,GATA1,Gata1,0.8029586657
552,CTSE,Ctse,0.96046043
553,NUCKS1,Nucks1,0.6405077956
554,OAT,Oat,-0.3662669149
555,BIRC5,Birc5,0.9743687672
556,LEPROT,Leprot,0.8050385312
557,DNAJC9,Dnajc9,0.9123214056
558,HNRNPK,Hnrnpk,0.8143590939
559,SUZ12,Suz12,0.7729970199
560,CCNA2,Ccna2,0.9833832934
561,TCF3,Tcf3,0.1434058996
562,UBAC1,Ubac1,0.9379852183
563,MYBL2,Mybl2,0.9077866542
564,UBXN1,Ubxn1,0.5864635362
565,ARF6,Arf6,0.8502539729
566,NFIA,Nfia,-0.0551306646
567,DEK,Dek,0.9305236431
568,TUBB,Tubb5,0.8794415248
569,SAMD1,Samd1,0.5934739785
570,CARHSP1,Carhsp1,0.9071714251
