,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
3131,STEAP3,-0.20585,-0.21007,-0.20288,-0.16932,-0.14058,-0.06409,0.14122,-0.09063,-0.1932,-0.19489,-0.15575,-0.17363,-0.21007,-0.21007,-0.21007,80.47676,2.31e-11,1.2e-07
3132,STIP1,-0.30624,-0.27633,-0.27136,-0.13695,-0.20861,-0.04303,-0.28516,-0.35246,-0.21449,-0.1147,-0.16293,-0.14548,-0.26366,-0.23576,-0.15212,166.22033,3.97e-28,2.48e-24
3133,STK11,-0.20695,-0.19605,-0.19713,-0.17711,-0.17675,-0.11801,0.03572,0.04077,-0.1732,-0.18121,-0.17008,-0.17117,-0.20236,-0.20371,-0.17666,79.47534,3.54e-11,1.83e-07
3134,STK19,-0.06461,-0.09336,-0.0986,-0.08622,-0.10183,-0.10429,-0.09635,0.00562,-0.10459,-0.10441,-0.11324,-0.11096,-0.0949,-0.0956,-0.09798,52.61921,2.21e-06,0.00903
3135,STK24,-0.27914,-0.24586,-0.2223,-0.10703,-0.13408,-0.07157,-0.08784,-0.18996,-0.18275,-0.19841,-0.2375,-0.16368,-0.19321,-0.1774,-0.18073,76.22672,1.41e-10,7.14e-07
3136,STK25,-0.29992,-0.2704,-0.28819,-0.23579,-0.27572,0.06722,-0.24293,-0.28896,-0.24044,-0.22815,-0.26973,-0.27232,-0.30312,-0.30342,-0.24249,334.44479,7.49e-63,5.13e-59
3137,STK26,-0.20314,-0.15588,-0.16634,-0.1572,-0.15958,-0.172,-0.20026,-0.17765,-0.05124,-0.09853,-0.01245,-0.08856,-0.17906,-0.13566,-0.1003,55.4548,7.23e-07,0.00306
3138,STK3,-0.03484,-0.07552,-0.08246,-0.08226,-0.08501,-0.09497,-0.00382,0.0521,-0.07892,-0.08464,-0.09362,-0.08698,-0.06989,-0.04892,-0.0861,75.32232,2.07e-10,1.04e-06
3139,STK35,-0.04935,-0.09168,-0.07143,-0.05353,-0.10318,-0.07946,-0.06218,0.03271,-0.091,-0.10001,-0.09676,-0.09645,-0.06095,-0.0684,-0.04953,54.10273,1.23e-06,0.00513
3140,STK38L,-0.08331,-0.10783,-0.11248,-0.10596,-0.11645,-0.12383,-0.0392,0.03001,-0.10391,-0.09608,-0.08355,-0.06106,-0.10713,-0.10991,-0.10606,70.07888,1.87e-09,9.1e-06
3141,STK4,-0.1693,-0.12345,-0.17625,0.05894,-0.02318,-0.17753,-0.25578,-0.22058,0.06628,-0.08957,-0.16839,-0.02416,-0.1825,-0.14424,-0.17676,70.6766,1.46e-09,7.13e-06
3142,STMN1,-0.51635,-0.29251,0.18501,-0.29067,-0.01961,0.00753,-0.64836,-0.82112,0.10931,0.29596,-0.13849,-0.14401,0.48602,0.97655,2.05342,1933.40067,0.0,0.0
3143,STMN3,-0.0762,-0.08945,-0.03726,-0.21143,-0.16757,-0.19039,-0.26773,-0.26749,-0.17338,-0.06774,-0.18739,-0.21971,-0.10181,-0.03437,-0.17206,71.36639,1.09e-09,5.36e-06
3144,STOM,-0.24491,-0.29009,-0.2838,-0.17026,-0.25523,-0.1845,0.18423,0.98704,-0.30148,-0.28364,-0.24233,-0.29158,-0.27954,-0.31309,-0.29824,1080.9942,6.45e-222,4.73e-218
